2026-09-21 17:50:35,691 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,700 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,709 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,718 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,728 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,737 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,746 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,755 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,764 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,774 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,783 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,792 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,801 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,811 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,820 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,829 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,838 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,847 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,856 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,873 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,883 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,893 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,904 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,914 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,923 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,932 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,941 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,950 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,960 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,969 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,978 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,987 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:35,997 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,006 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,015 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,024 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,033 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,042 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,051 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,060 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,069 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,078 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,087 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,096 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,105 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,114 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,123 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,133 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,142 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,151 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,160 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,170 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,179 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,188 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,198 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,207 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,216 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,225 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,237 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,246 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,255 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,265 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,274 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,283 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,292 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,302 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,311 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,320 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,330 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,339 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,348 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,357 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,366 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,376 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,385 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,394 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,403 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,412 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,421 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,431 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,441 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,451 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,461 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,470 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,480 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,490 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,500 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,510 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,519 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,529 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,539 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,549 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,559 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,569 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,578 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,588 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,598 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,608 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,618 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,627 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,637 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,647 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,656 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,667 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,676 - INFO - game_screen.py: 311 [update] | Saving last.
2026-09-21 17:50:36,686 - INFO - game_screen.py: 311 [update] | Saving last.
